From_countries,To_Countries,Element,Item,Year,Trade Quantity
Australia,"China, mainland",Export Quantity,Beans,1997,172
Australia,"China, mainland",Export Quantity,Beans,1998,575
Australia,"China, mainland",Export Quantity,Beans,1999,3
Australia,"China, mainland",Export Quantity,Beans,2000,452
Australia,"China, mainland",Export Quantity,Beans,2001,538
Australia,"China, mainland",Export Quantity,Beans,2004,131
Australia,"China, mainland",Export Quantity,Beans,2006,253
Australia,"China, mainland",Export Quantity,Beans,2010,4374
Australia,"China, mainland",Export Quantity,Beans,2011,1165
Australia,"China, mainland",Export Quantity,Beans,2012,5924
Australia,"China, mainland",Export Quantity,Beans,2013,125
Australia,"China, mainland",Export Quantity,Beans,2014,1132.58
Australia,"China, mainland",Export Quantity,Beans,2015,13173.54
Australia,"China, mainland",Export Quantity,Beans,2016,12652.53
Australia,"China, mainland",Export Quantity,Beans,2017,8812.3
Australia,"China, mainland",Export Quantity,Beans,2018,35651.2
Australia,"China, mainland",Export Quantity,Beans,2019,5198.9
Australia,"China, mainland",Export Quantity,Beans,2020,34954.3
Australia,"China, mainland",Export Quantity,Beans,2021,61875.7
Australia,"China, mainland",Export Quantity,Beans,2022,91939.25
